Player,FG,FGA,XPT,Points,Value,ADP,STD DEV,ADP DIF
Stephen Gostkowski,31.0,35.9,49.9,142.9,22.3,1.0,0.8,0.0
Matt Bryant,29.9,34.1,46.4,136.1,15.5,3.0,3.0,0.0
Justin Tucker,31.8,35.1,34.5,129.9,9.3,2.0,1.5,0.0
Mason Crosby,27.8,32.6,45.8,129.2,8.6,5.0,2.1,0.0
Dan Bailey,28.2,32.5,43.3,127.9,7.3,4.0,1.4,0.0
Graham Gano,29.4,35.8,38.6,126.8,6.2,10.0,4.3,-2.0
Adam Vinatieri,27.7,31.4,41.3,124.4,3.8,6.0,3.2,0.0
Sebastian Janikowski,28.0,33.4,40.3,124.3,3.7,8.0,2.4,-2.0
Dustin Hopkins,28.3,34.1,38.5,123.4,2.8,13.0,4.3,2.0
Blair Walsh,28.1,33.9,37.5,121.8,1.2,15.0,4.8,-2.0
Cairo Santos,28.4,33.4,36.2,121.4,0.8,11.0,2.3,3.0
Caleb Sturgis,28.3,33.8,35.5,120.4,-0.2,17.0,4.5,2.0
Chris Boswell,27.0,31.6,39.0,120.0,-0.6,12.0,3.8,-1.0
Matt Prater,28.1,32.1,35.8,120.1,-0.5,9.0,2.7,2.0
Phil Dawson,25.3,29.7,42.1,118.0,-2.6,22.0,5.0,2.0
Josh Lambo,26.7,32.6,37.8,117.9,-2.7,20.0,3.6,2.0
Brandon McManus,27.2,32.3,33.5,115.1,-5.5,16.0,4.1,2.0
Steven Hauschka,25.9,30.4,36.6,114.3,-6.3,14.0,6.6,-2.0
Kai Forbath,26.6,30.4,33.9,113.7,-6.9,25.0,5.1,1.0
Randy Bullock,25.7,30.6,36.4,113.5,-7.1,,6.7,
Nick Novak,27.4,32.5,30.9,113.1,-7.5,21.0,5.0,2.0
Ryan Succop,24.1,27.8,39.4,111.7,-8.9,23.0,4.3,1.0
Jason Myers,26.2,31.4,33.2,111.8,-8.8,,3.1,
Nick Folk,24.9,29.3,36.9,111.6,-9.0,29.0,4.7,6.0
Robbie Gould,23.7,27.4,31.1,102.2,-18.4,30.0,3.4,-3.0
Andrew Franks,21.7,26.8,35.9,101.0,-19.6,,3.9,
Connor Barth,23.0,28.8,31.8,100.8,-19.8,31.0,2.6,-6.0
Chandler Catanzaro,23.5,28.7,28.5,99.0,-21.6,18.0,7.3,-3.0
Greg Zuerlein,22.6,27.3,28.4,96.2,-24.4,32.0,4.1,-3.0
Cody Parkey,22.3,27.7,28.2,95.1,-25.5,,2.2,
Jake Elliott,19.8,23.5,28.0,87.4,-33.2,24.0,4.1,-8.0
Aldrick Rosas,18.7,22.3,28.0,84.1,-36.5,26.0,4.9,0.0
Zane Gonzalez,17.7,21.3,21.2,74.3,-46.3,27.0,3.2,-12.0
Harrison Butker,14.4,17.1,19.5,62.7,-57.9,19.0,7.1,-12.0
