Player,FG,FGA,XP,Points
Stephen Gostkowski,37.2,42.0,49.3,164.9
Matt Bryant,34.7,38.3,49.3,163.4
Mason Crosby,30.8,35.9,48.7,147.1
Justin Tucker,32.1,34.3,34.4,144.7
Graham Gano,32.8,41.0,41.4,143.8
Sebastian Janikowski,31.4,38.1,43.3,143.5
Wil Lutz,29.6,36.0,47.0,141.8
Chris Boswell,30.6,34.3,42.3,138.1
Dustin Hopkins,31.8,38.5,38.2,137.6
Dan Bailey,29.2,33.4,41.9,137.5
Caleb Sturgis,30.8,36.3,36.7,135.1
Adam Vinatieri,27.5,31.1,39.1,133.6
Josh Lambo,28.8,35.4,39.0,129.4
Matt Prater,27.2,31.0,33.3,128.9
Blair Walsh,28.5,35.5,37.1,128.6
Jason Myers,27.8,34.3,31.9,127.3
Cairo Santos,28.3,32.4,38.1,125.0
Nick Novak,29.5,33.9,30.1,124.6
Phil Dawson,25.8,29.7,42.6,124.0
Nick Folk,27.1,31.4,37.9,123.2
Kai Forbath,27.6,30.0,34.6,121.4
Brandon McManus,27.1,31.4,33.2,120.5
Randy Bullock,27.5,32.0,33.5,118.0
Ryan Succop,24.0,26.4,38.7,116.7
Robbie Gould,22.2,24.1,31.4,102.0
Chandler Catanzaro,22.7,28.6,26.6,98.7
Connor Barth,22.0,27.7,30.4,98.4
Andrew Franks,19.5,24.7,33.6,94.1
Greg Zuerlein,20.5,25.6,27.8,93.3
Zane Gonzalez,19.6,23.5,25.2,86.0
Jake Elliott,0.1,0.1,0.1,0.4
Harrison Butker,0.1,0.1,0.1,0.4
